                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.83585,                  1.305,                 1.3228,                0.90134,                0.88271,                0.93471,                0.82773,                0.54857,                 0.5731,                0.95702,               0.006535,               0.006535,               0.006535
                     37,                0.82168,                 1.2875,                 1.3137,                0.88527,                0.90571,                0.94667,                0.83725,                0.55391,                0.54893,                0.96214,               0.006436,               0.006436,               0.006436
                     38,                0.82838,                 1.2772,                 1.3152,                0.88527,                0.88039,                0.93257,                0.82162,                 0.5458,                0.55165,                0.95574,               0.006337,               0.006337,               0.006337
                     39,                0.82368,                 1.2587,                 1.3172,                0.91515,                0.86989,                0.93762,                0.83446,                0.54676,                0.53717,                0.96149,               0.006238,               0.006238,               0.006238
                     40,                0.82888,                  1.263,                 1.3204,                0.88414,                0.88923,                0.94504,                0.83959,                  0.523,                0.51887,                0.93079,               0.006139,               0.006139,               0.006139
                     41,                0.82265,                 1.2303,                 1.3162,                0.88942,                0.89822,                0.94163,                0.83432,                0.52055,                0.53508,                0.93496,                0.00604,                0.00604,                0.00604
                     42,                0.81112,                 1.2156,                 1.3029,                0.91796,                0.89557,                0.94636,                0.83889,                0.51614,                0.50239,                0.93234,               0.005941,               0.005941,               0.005941
                     43,                0.81404,                 1.1914,                 1.3087,                0.90835,                0.89281,                 0.9411,                0.83336,                0.53375,                0.52626,                0.94137,               0.005842,               0.005842,               0.005842
                     44,                0.81586,                 1.2147,                 1.3125,                0.88873,                0.90877,                0.94325,                0.84158,                0.51785,                0.50488,                0.92777,               0.005743,               0.005743,               0.005743
                     45,                0.81165,                 1.1864,                 1.3062,                0.92197,                0.89556,                0.94956,                0.84779,                 0.5308,                 0.4748,                0.93669,               0.005644,               0.005644,               0.005644
